domain,model,mean_score,median_score,count,domain_average,advantage
Accounting and common-control recast mechanics,Mimo 2.5 Pro,0.7447333333333334,0.7368,9,0.5026155555555556,0.24211777777777777
Accounting and common-control recast mechanics,Kimi K2.6,0.6653333333333333,0.6899,9,0.5026155555555556,0.16271777777777774
Accounting and common-control recast mechanics,GLM 5.1,0.6433333333333333,0.6667,9,0.5026155555555556,0.14071777777777772
Accounting and common-control recast mechanics,Nemotron 3 Ultra,0.4596777777777778,0.5506,9,0.5026155555555556,-0.0429377777777778
Accounting and common-control recast mechanics,Qwen 3.7 Max,0.0,0.0,9,0.5026155555555556,-0.5026155555555556
Capital intensity and funding,GLM 5.1,0.7887299999999999,0.7621,10,0.583696,0.20503399999999994
Capital intensity and funding,Mimo 2.5 Pro,0.78539,0.74265,10,0.583696,0.20169400000000004
Capital intensity and funding,Kimi K2.6,0.74054,0.7351000000000001,10,0.583696,0.15684399999999998
Capital intensity and funding,Nemotron 3 Ultra,0.5038199999999999,0.63685,10,0.583696,-0.07987600000000006
Capital intensity and funding,Qwen 3.7 Max,0.1,0.0,10,0.583696,-0.483696
Execution and program risk,Mimo 2.5 Pro,0.8884857142857143,0.9035,7,0.5900257142857143,0.29846000000000006
Execution and program risk,GLM 5.1,0.8151571428571429,0.7955,7,0.5900257142857143,0.22513142857142865
Execution and program risk,Kimi K2.6,0.7495571428571429,0.7555,7,0.5900257142857143,0.15953142857142866
Execution and program risk,Nemotron 3 Ultra,0.36065714285714284,0.4781,7,0.5900257142857143,-0.22936857142857142
Execution and program risk,Qwen 3.7 Max,0.13627142857142857,0.0,7,0.5900257142857143,-0.45375428571428567
Governance and control structures,GLM 5.1,0.8224666666666667,0.8776,3,0.5079533333333333,0.3145133333333334
Governance and control structures,Mimo 2.5 Pro,0.7319999999999999,0.7529,3,0.5079533333333333,0.22404666666666662
Governance and control structures,Kimi K2.6,0.5563333333333333,0.6941,3,0.5079533333333333,0.04838000000000009
Governance and control structures,Nemotron 3 Ultra,0.42896666666666666,0.3868,3,0.5079533333333333,-0.0789866666666666
Governance and control structures,Qwen 3.7 Max,0.0,0.0,3,0.5079533333333333,-0.5079533333333333
KPI quality and monetization,GLM 5.1,0.7765666666666666,0.8286,9,0.5662244444444444,0.2103422222222222
KPI quality and monetization,Mimo 2.5 Pro,0.757,0.7602,9,0.5662244444444444,0.1907755555555556
KPI quality and monetization,Kimi K2.6,0.7196222222222222,0.7561,9,0.5662244444444444,0.15339777777777774
KPI quality and monetization,Nemotron 3 Ultra,0.5779333333333333,0.5714,9,0.5662244444444444,0.01170888888888888
KPI quality and monetization,Qwen 3.7 Max,0.0,0.0,9,0.5662244444444444,-0.5662244444444444
Segment economics and operating performance,GLM 5.1,0.7746125,0.8452,8,0.60019,0.17442250000000004
Segment economics and operating performance,Mimo 2.5 Pro,0.7685875,0.7746,8,0.60019,0.16839749999999998
Segment economics and operating performance,Kimi K2.6,0.6978,0.6698,8,0.60019,0.09760999999999997
Segment economics and operating performance,Nemotron 3 Ultra,0.6901,0.7389,8,0.60019,0.08991000000000005
Segment economics and operating performance,Qwen 3.7 Max,0.06985,0.0,8,0.60019,-0.53034
Valuation and underwriting analysis,GLM 5.1,0.7674,0.782,9,0.48225555555555555,0.2851444444444444
Valuation and underwriting analysis,Mimo 2.5 Pro,0.6980777777777778,0.72,9,0.48225555555555555,0.21582222222222225
Valuation and underwriting analysis,Kimi K2.6,0.5446666666666666,0.7027,9,0.48225555555555555,0.062411111111111084
Valuation and underwriting analysis,Nemotron 3 Ultra,0.2953111111111111,0.1616,9,0.48225555555555555,-0.18694444444444447
Valuation and underwriting analysis,Qwen 3.7 Max,0.10582222222222222,0.0,9,0.48225555555555555,-0.37643333333333334
