workflow,model,mean_score,median_score,count,workflow_average,advantage
Accounting and transaction advisory,Mimo 2.5 Pro,0.7796615384615385,0.7714,13,0.5328861538461538,0.24677538461538473
Accounting and transaction advisory,Kimi K2.6,0.7040692307692307,0.6957,13,0.5328861538461538,0.17118307692307688
Accounting and transaction advisory,GLM 5.1,0.6992999999999999,0.6889,13,0.5328861538461538,0.16641384615384613
Accounting and transaction advisory,Nemotron 3 Ultra,0.48140000000000005,0.5736,13,0.5328861538461538,-0.05148615384615374
Accounting and transaction advisory,Qwen 3.7 Max,0.0,0.0,13,0.5328861538461538,-0.5328861538461538
Credit analysis,Mimo 2.5 Pro,0.75902,0.7157,10,0.546928,0.21209200000000006
Credit analysis,GLM 5.1,0.7571,0.7526,10,0.546928,0.21017200000000003
Credit analysis,Kimi K2.6,0.64677,0.6547000000000001,10,0.546928,0.09984199999999999
Credit analysis,Nemotron 3 Ultra,0.41586999999999996,0.4434,10,0.546928,-0.131058
Credit analysis,Qwen 3.7 Max,0.15588,0.0,10,0.546928,-0.39104799999999995
Investment banking / ECM,GLM 5.1,0.78474,0.782,5,0.5157,0.26903999999999995
Investment banking / ECM,Mimo 2.5 Pro,0.75778,0.7353,5,0.5157,0.24207999999999996
Investment banking / ECM,Kimi K2.6,0.59896,0.7474,5,0.5157,0.08326
Investment banking / ECM,Nemotron 3 Ultra,0.43701999999999996,0.6765,5,0.5157,-0.07868000000000008
Investment banking / ECM,Qwen 3.7 Max,0.0,0.0,5,0.5157,-0.5157
Public-market investing,GLM 5.1,0.7869066666666666,0.8254,15,0.5493666666666667,0.23753999999999997
Public-market investing,Mimo 2.5 Pro,0.75818,0.7647,15,0.5493666666666667,0.2088133333333333
Public-market investing,Kimi K2.6,0.6703600000000001,0.6825,15,0.5493666666666667,0.1209933333333334
Public-market investing,Nemotron 3 Ultra,0.46789333333333333,0.559,15,0.5493666666666667,-0.08147333333333334
Public-market investing,Qwen 3.7 Max,0.06349333333333333,0.0,15,0.5493666666666667,-0.4858733333333333
Securities counsel,GLM 5.1,0.796575,0.79825,4,0.5901799999999999,0.2063950000000001
Securities counsel,Mimo 2.5 Pro,0.76675,0.8009999999999999,4,0.5901799999999999,0.17657000000000012
Securities counsel,Kimi K2.6,0.64305,0.7763,4,0.5901799999999999,0.052870000000000084
Securities counsel,Nemotron 3 Ultra,0.50605,0.54045,4,0.5901799999999999,-0.08412999999999993
Securities counsel,Qwen 3.7 Max,0.238475,0.0,4,0.5901799999999999,-0.35170499999999993
Venture and growth investing,GLM 5.1,0.7959875,0.8170999999999999,8,0.5844825,0.21150499999999994
Venture and growth investing,Mimo 2.5 Pro,0.7827375,0.8236,8,0.5844825,0.19825499999999996
Venture and growth investing,Kimi K2.6,0.7534125,0.75735,8,0.5844825,0.16893000000000002
Venture and growth investing,Nemotron 3 Ultra,0.590275,0.5729,8,0.5844825,0.005792499999999978
Venture and growth investing,Qwen 3.7 Max,0.0,0.0,8,0.5844825,-0.5844825
